wav_path,loudness,sharpness,roughness,wav_name,wav_no,wav_sub_no,wav_group_name
data/wav-splits/1.バスタ新宿 4f 高速バス乗り場 C7乗り場前.mono.0.wav,4.565387384473564,1.0940113929801556,0.017140287110175716,1.バスタ新宿 4f 高速バス乗り場 C7乗り場前.mono.0.wav,1,0,バスタ新宿 4f 高速バス
data/wav-splits/1.バスタ新宿 4f 高速バス乗り場 C7乗り場前.mono.1.wav,3.9765518735600396,1.0458936987283836,0.01627072546818265,1.バスタ新宿 4f 高速バス乗り場 C7乗り場前.mono.1.wav,1,1,バスタ新宿 4f 高速バス
data/wav-splits/1.バスタ新宿 4f 高速バス乗り場 C7乗り場前.mono.2.wav,3.096867422093612,0.9801662004722295,0.012508521281724258,1.バスタ新宿 4f 高速バス乗り場 C7乗り場前.mono.2.wav,1,2,バスタ新宿 4f 高速バス
data/wav-splits/1.バスタ新宿 4f 高速バス乗り場 C7乗り場前.mono.3.wav,3.0730198763593335,0.9453934664203708,0.012479849242144231,1.バスタ新宿 4f 高速バス乗り場 C7乗り場前.mono.3.wav,1,3,バスタ新宿 4f 高速バス
data/wav-splits/1.バスタ新宿 4f 高速バス乗り場 C7乗り場前.mono.4.wav,3.1020915864047214,0.9718879335148133,0.011783935083352917,1.バスタ新宿 4f 高速バス乗り場 C7乗り場前.mono.4.wav,1,4,バスタ新宿 4f 高速バス
data/wav-splits/1.バスタ新宿 4f 高速バス乗り場 C7乗り場前.mono.5.wav,4.156913766247703,1.048001254609547,0.016158952213198862,1.バスタ新宿 4f 高速バス乗り場 C7乗り場前.mono.5.wav,1,5,バスタ新宿 4f 高速バス
data/wav-splits/2.新宿駅JR中央線東京行きプラットホーム.mono.0.wav,16.545362131056155,1.2042943200490903,0.04425055894852554,2.新宿駅JR中央線東京行きプラットホーム.mono.0.wav,2,0,新宿駅JR中央線東京行きプラ
data/wav-splits/2.新宿駅JR中央線東京行きプラットホーム.mono.1.wav,20.997109799984166,1.2511438957170087,0.04035418196797207,2.新宿駅JR中央線東京行きプラットホーム.mono.1.wav,2,1,新宿駅JR中央線東京行きプラ
data/wav-splits/2.新宿駅JR中央線東京行きプラットホーム.mono.2.wav,14.998969760505831,1.208636948419842,0.032181396824976616,2.新宿駅JR中央線東京行きプラットホーム.mono.2.wav,2,2,新宿駅JR中央線東京行きプラ
data/wav-splits/2.新宿駅JR中央線東京行きプラットホーム.mono.3.wav,14.287640794370278,1.2685366444870054,0.03490019575457631,2.新宿駅JR中央線東京行きプラットホーム.mono.3.wav,2,3,新宿駅JR中央線東京行きプラ
